Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 6).
Total number of jobs: 802
started buildZMat@2200000000.000000 at 31-Aug-2024 10:42:14
started buildVMat@2200000000.000000 at 31-Aug-2024 10:42:14
started buildZMat@2201000000.000000 at 31-Aug-2024 10:42:14
started buildVMat@2201000000.000000 at 31-Aug-2024 10:42:14
started buildVMat@2202000000.000000 at 31-Aug-2024 10:42:14
started buildZMat@2202000000.000000 at 31-Aug-2024 10:42:14
finished buildVMat@2201000000.000000 at 31-Aug-2024 10:42:19
finished buildVMat@2202000000.000000 at 31-Aug-2024 10:42:19
finished buildVMat@2200000000.000000 at 31-Aug-2024 10:42:19
started buildVMat@2203000000.000000 at 31-Aug-2024 10:42:19
started buildZMat@2203000000.000000 at 31-Aug-2024 10:42:19
started buildZMat@2204000000.000000 at 31-Aug-2024 10:42:19
finished buildVMat@2203000000.000000 at 31-Aug-2024 10:42:22
started buildVMat@2204000000.000000 at 31-Aug-2024 10:42:22
finished buildVMat@2204000000.000000 at 31-Aug-2024 10:42:25
started buildZMat@2205000000.000000 at 31-Aug-2024 10:42:25
finished buildZMat@2200000000.000000 at 31-Aug-2024 10:46:06
started buildVMat@2205000000.000000 at 31-Aug-2024 10:46:06
finished buildZMat@2202000000.000000 at 31-Aug-2024 10:46:07
started buildZMat@2206000000.000000 at 31-Aug-2024 10:46:07
finished buildZMat@2203000000.000000 at 31-Aug-2024 10:46:09
started buildVMat@2206000000.000000 at 31-Aug-2024 10:46:09
finished buildVMat@2205000000.000000 at 31-Aug-2024 10:46:10
started buildZMat@2207000000.000000 at 31-Aug-2024 10:46:10
finished buildZMat@2201000000.000000 at 31-Aug-2024 10:46:10
started buildVMat@2207000000.000000 at 31-Aug-2024 10:46:10
finished buildZMat@2204000000.000000 at 31-Aug-2024 10:46:10
started buildZMat@2208000000.000000 at 31-Aug-2024 10:46:10
finished buildVMat@2206000000.000000 at 31-Aug-2024 10:46:12
started buildVMat@2208000000.000000 at 31-Aug-2024 10:46:12
finished buildZMat@2205000000.000000 at 31-Aug-2024 10:46:12
started buildZMat@2209000000.000000 at 31-Aug-2024 10:46:12
finished buildVMat@2207000000.000000 at 31-Aug-2024 10:46:13
started buildVMat@2209000000.000000 at 31-Aug-2024 10:46:13
finished buildVMat@2208000000.000000 at 31-Aug-2024 10:46:14
